sujeto,grupo,condición ,dia ,hit,fa,miss,rechazo,ensayos_cortos,ensayos_largo
4,0.5v2,LB,1,35,13,5,27,40,40
4,0.5v2,LB,2,20,5,7,26,27,31
4,0.5v2,LB,3,35,12,5,29,40,41
4,0.5v2,LB,4,39,8,7,41,46,49
4,0.5v2,LB,5,24,7,10,35,34,42
4,0.5v2,LB,6,28,7,4,23,32,30
4,0.5v2,LB,7,15,4,9,24,24,28
4,0.5v2,LB,8,34,15,7,26,41,41
4,0.5v2,LB,9,32,5,7,31,39,36
4,0.5v2,LB,10,29,8,7,29,36,37
4,0.5v2,PRE,1,25,5,7,42,32,47
4,0.5v2,PRE,2,33,9,10,37,43,46
4,0.5v2,PRE,3,19,12,16,27,35,39
4,0.5v2,PRE,4,27,10,14,38,41,48
4,0.5v2,PRE,5,30,4,9,48,39,52
4,0.5v2,PRE,6,35,3,8,44,43,47
4,0.5v2,PRE,7,36,6,2,36,38,42
4,0.5v2,PRE,8,26,7,2,20,28,27
4,0.5v2,PRE,9,21,5,8,26,29,31
4,0.5v2,PRE,10,33,5,1,26,34,31
4,3v12,LB,1,20,10,9,19,29,29
4,3v12,LB,2,22,5,3,18,25,23
4,3v12,LB,3,24,3,12,31,36,34
4,3v12,LB,4,30,9,7,30,37,39
4,3v12,LB,5,13,9,10,21,23,30
4,3v12,LB,6,29,3,7,34,36,37
4,3v12,LB,7,31,7,8,31,39,38
4,3v12,LB,8,26,10,8,28,34,38
4,3v12,LB,9,24,5,6,20,30,25
4,3v12,LB,10,28,6,8,34,36,40
4,3v12,PRE,1,28,6,12,29,40,35
4,3v12,PRE,2,28,5,12,34,40,39
4,3v12,PRE,3,25,15,19,23,44,38
4,3v12,PRE,4,25,9,23,42,48,51
4,3v12,PRE,5,23,4,10,21,33,25
4,3v12,PRE,6,26,3,3,30,29,33
4,3v12,PRE,7,29,10,12,26,41,36
4,3v12,PRE,8,20,4,7,23,27,27
4,3v12,PRE,9,23,6,11,37,34,43
4,3v12,PRE,10,25,4,14,36,39,40
19,0.5v2,LB,1,36,2,6,37,42,39
19,0.5v2,LB,2,31,5,5,40,36,45
19,0.5v2,LB,3,40,2,12,51,52,54
19,0.5v2,LB,4,35,2,5,52,40,57
19,0.5v2,LB,5,36,2,4,43,40,46
19,0.5v2,LB,6,31,3,4,32,35,36
19,0.5v2,LB,7,22,6,4,27,26,32
19,0.5v2,LB,8,48,5,0,35,48,43
19,0.5v2,LB,9,43,5,4,39,47,50
19,0.5v2,LB,10,25,2,5,25,30,31
19,0.5v2,PRE,1,29,1,9,34,38,38
19,0.5v2,PRE,2,25,2,9,40,34,44
19,0.5v2,PRE,3,30,1,8,41,38,43
19,0.5v2,PRE,4,40,1,5,40,45,44
19,0.5v2,PRE,5,29,1,10,40,39,42
19,0.5v2,PRE,6,39,1,13,41,52,44
19,0.5v2,PRE,7,34,3,7,42,41,45
19,0.5v2,PRE,8,31,1,2,22,33,24
19,0.5v2,PRE,9,42,2,9,44,51,46
19,0.5v2,PRE,10,36,1,6,37,42,39
19,3v12,LB,1,28,3,8,36,36,41
19,3v12,LB,2,23,1,4,26,27,32
19,3v12,LB,3,21,2,4,20,25,25
19,3v12,LB,4,21,3,1,25,22,29
19,3v12,LB,5,24,5,8,34,32,45
19,3v12,LB,6,29,4,10,25,39,38
19,3v12,LB,7,27,3,8,22,35,34
19,3v12,LB,8,31,3,5,29,36,39
19,3v12,LB,9,36,3,2,26,39,38
19,3v12,LB,10,36,3,0,26,36,43
19,3v12,PRE,1,29,10,3,10,32,23
19,3v12,PRE,2,35,1,4,20,39,38
19,3v12,PRE,3,29,5,3,19,32,34
19,3v12,PRE,4,19,2,2,13,21,19
19,3v12,PRE,5,24,6,4,16,28,28
19,3v12,PRE,6,26,5,3,18,29,29
19,3v12,PRE,7,43,3,3,30,46,41
19,3v12,PRE,8,36,2,1,26,37,40
19,3v12,PRE,9,39,4,3,27,43,41
19,3v12,PRE,10,41,1,2,31,43,36
