Sujeto,Grupo,Condicion,Día,Corto_enCorto,Corto_enLargo,Largo_enCorto,Largo_enLargo,EnsayosCortos,EnsayosLargos
3,1v4,LB,1,54,28,28,48,55,76
3,1v4,LB,2,44,35,35,55,51,90
3,1v4,LB,3,48,33,33,47,52,80
3,1v4,LB,4,45,29,29,45,47,74
3,1v4,LB,5,39,13,13,33,40,46
3,1v4,LB,6,34,27,27,35,36,62
3,1v4,LB,7,42,34,34,44,47,78
3,1v4,LB,8,50,32,32,38,52,70
3,1v4,LB,9,47,48,48,54,49,102
3,1v4,LB,10,55,48,48,56,59,104
3,1v4,M,1,43,30,30,48,43,78
3,1v4,M,2,39,18,18,36,43,54
3,1v4,M,3,33,19,19,39,36,58
3,1v4,M,4,49,29,29,47,52,76
3,1v4,M,5,44,31,31,47,45,78
3,1v4,M,6,43,30,30,48,47,78
3,1v4,M,7,48,25,25,27,51,52
3,1v4,M,8,51,31,31,49,52,80
3,1v4,M,9,43,20,20,38,44,58
3,1v4,M,10,35,18,18,38,40,56
3,2v8,LB,1,43,20,20,34,45,54
3,2v8,LB,2,28,22,22,36,33,58
3,2v8,LB,3,23,16,16,32,29,48
3,2v8,LB,4,34,17,17,31,34,48
3,2v8,LB,5,42,35,35,41,46,76
3,2v8,LB,6,32,31,31,39,36,70
3,2v8,LB,7,34,24,24,32,35,56
3,2v8,LB,8,33,18,18,26,36,44
3,2v8,LB,9,34,36,36,38,37,74
3,2v8,LB,10,31,19,19,25,33,44
3,2v8,M,1,29,16,16,32,32,48
3,2v8,M,2,43,25,25,40,46,65
3,2v8,M,3,31,22,22,32,36,54
3,2v8,M,4,31,23,23,33,35,56
3,2v8,M,5,26,15,15,15,28,30
3,2v8,M,6,33,24,24,32,37,56
3,2v8,M,7,32,28,28,34,33,62
3,2v8,M,8,24,12,12,16,27,28
3,2v8,M,9,29,27,27,33,36,60
3,2v8,M,10,24,31,31,35,30,66
3,3v12,LB,1,37,22,22,30,39,52
3,3v12,LB,2,43,42,42,50,45,92
3,3v12,LB,3,38,25,25,31,40,56
3,3v12,LB,4,41,36,36,42,44,78
3,3v12,LB,5,22,23,23,29,23,52
3,3v12,LB,6,33,16,16,30,34,46
3,3v12,LB,7,37,15,15,29,37,44
3,3v12,LB,8,39,24,24,38,40,62
3,3v12,LB,9,38,25,25,37,38,62
3,3v12,LB,10,36,20,20,34,38,54
3,3v12,M,1,52,38,38,44,55,82
3,3v12,M,2,28,22,22,30,28,52
3,3v12,M,3,44,34,34,42,44,76
3,3v12,M,4,39,39,39,45,41,84
3,3v12,M,5,44,38,38,42,45,80
3,3v12,M,6,29,18,18,34,33,52
3,3v12,M,7,29,16,16,30,33,46
3,3v12,M,8,32,22,22,34,33,56
3,3v12,M,9,34,12,12,28,36,40
3,3v12,M,10,27,15,15,31,30,46
3,5v2,LB,1,35,34,34,34,37,68
3,5v2,LB,2,39,29,29,31,42,60
3,5v2,LB,3,34,30,30,34,36,64
3,5v2,LB,4,25,19,19,21,27,40
3,5v2,LB,5,23,14,14,20,27,34
3,5v2,LB,6,45,29,29,41,47,70
3,5v2,LB,7,35,25,25,35,35,60
3,5v2,LB,8,40,29,29,33,41,62
3,5v2,LB,9,38,36,36,40,39,76
3,5v2,LB,10,31,24,24,32,35,56
3,5v2,M,1,35,33,33,39,37,72
3,5v2,M,2,39,40,40,44,45,84
3,5v2,M,3,39,41,41,45,42,86
3,5v2,M,4,29,22,22,26,32,48
3,5v2,M,5,36,41,41,49,37,90
3,5v2,M,6,43,42,42,53,53,95
3,5v2,M,7,41,25,25,39,45,64
3,5v2,M,8,31,21,21,25,36,46
3,5v2,M,9,28,23,23,33,35,56
3,5v2,M,10,25,24,24,36,27,60
