"","type","guess","se.guess","slip","se.slip","rmsea"
"PMA09","DINA",0.153,0.003,0.252,0.006,0.00633032612370659
"PMA10","DINA",0.245,0.003,0.086,0.006,0.00337976348597152
"PMA11","DINA",0.352,0.004,0.091,0.006,0.0160922611454859
"PMA12","DINA",0.278,0.004,0.154,0.009,0.0180156580356031
"PMA13","DINA",0.418,0.005,0.101,0.007,0.0203018406890239
"PMA14","DINA",0.344,0.004,0.075,0.006,0.00850502943382599
"PMB10","DINA",0.192,0.003,0.272,0.012,0.00595335392051691
"PMB11","DINA",0.248,0.004,0.129,0.006,0.00608981619024126
"PMB12","DINA",0.288,0.004,0.362,0.017,0.0329013424307454
"PMB13","DINA",0.321,0.004,0.28,0.014,0.0288021194043528
"PMB14","DINA",0.368,0.005,0.289,0.007,0.0240351773839965
